timestamp,src_ip,dst_ip,predicted_label,probability
2024-04-18 18:06:14,125.209.230.135,192.168.0.25,NORMAL,83.00%
2024-04-18 18:06:14,125.209.230.135,192.168.0.25,NORMAL,92.00%
2024-04-18 18:06:14,125.209.230.135,192.168.0.25,NORMAL,96.00%
2024-04-18 18:06:14,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:06:14,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:06:14,192.168.0.25,125.209.230.135,DOS,100.00%
2024-04-18 18:06:14,192.168.0.25,125.209.230.135,DOS,100.00%
2024-04-18 18:06:14,192.168.0.25,125.209.230.135,DOS,100.00%
2024-04-18 18:06:14,192.168.0.25,125.209.230.135,DOS,100.00%
2024-04-18 18:06:14,192.168.0.25,125.209.230.135,DOS,100.00%
2024-04-18 18:06:14,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:06:14,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:06:14,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:06:14,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:06:14,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:06:14,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:06:14,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:06:14,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:06:14,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:06:14,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:06:15,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:06:15,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:06:15,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:11:50,192.168.0.25,125.209.230.135,DOS,100.00%
2024-04-18 18:11:50,125.209.230.135,192.168.0.25,PROBE,100.00%
2024-04-18 18:11:50,192.168.0.25,125.209.230.135,DOS,100.00%
2024-04-18 18:11:50,192.168.0.25,125.209.230.135,DOS,100.00%
2024-04-18 18:11:50,125.209.230.135,192.168.0.25,PROBE,99.00%
2024-04-18 18:11:50,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:11:50,125.209.230.135,192.168.0.25,NORMAL,98.00%
2024-04-18 18:11:50,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:11:50,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:11:50,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:11:50,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:11:50,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:11:50,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:11:50,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:11:50,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:11:50,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:11:50,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:11:50,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:11:50,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:11:50,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:11:50,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:11:50,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:11:50,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:11:50,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:11:50,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:11:51,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:11:51,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:11:51,192.168.0.25,125.209.230.135,NORMAL,100.00%
2024-04-18 18:12:20,192.168.0.25,125.209.230.135,DOS,98.00%
2024-04-18 18:12:20,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:12:20,192.168.0.25,125.209.230.135,NORMAL,88.00%
2024-04-18 18:12:20,192.168.0.25,125.209.230.135,NORMAL,77.00%
2024-04-18 18:12:20,125.209.230.135,192.168.0.25,NORMAL,99.00%
2024-04-18 18:12:20,125.209.230.135,192.168.0.25,NORMAL,99.00%
2024-04-18 18:12:20,125.209.230.135,192.168.0.25,NORMAL,99.00%
2024-04-18 18:12:20,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:12:20,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:12:20,192.168.0.25,125.209.230.135,NORMAL,72.00%
2024-04-18 18:12:20,192.168.0.25,125.209.230.135,NORMAL,65.00%
2024-04-18 18:12:20,192.168.0.25,125.209.230.135,NORMAL,68.00%
2024-04-18 18:12:20,192.168.0.25,125.209.230.135,NORMAL,73.00%
2024-04-18 18:12:20,192.168.0.25,125.209.230.135,NORMAL,78.00%
2024-04-18 18:12:20,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:12:20,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:12:20,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:12:20,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:12:20,125.209.230.135,192.168.0.25,NORMAL,100.00%
2024-04-18 18:12:20,125.209.230.135,192.168.0.25,NORMAL,100.00%
